{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.4389}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.34}
{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.296}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.34}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.542, 'neu': 0.458, 'pos': 0.0, 'compound': -0.8074}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.099, 'neu': 0.638, 'pos': 0.262, 'compound': 0.5106}
{'neg': 0.25, 'neu': 0.75, 'pos': 0.0, 'compound': -0.4588}
{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.3089}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.326, 'neu': 0.674, 'pos': 0.0, 'compound': -0.5256}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.197, 'neu': 0.574, 'pos': 0.23, 'compound': 0.1027}
{'neg': 0.34, 'neu': 0.66, 'pos': 0.0, 'compound': -0.5574}
{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.1695}
{'neg': 0.325, 'neu': 0.519, 'pos': 0.156, 'compound': -0.3818}
{'neg': 0.201, 'neu': 0.625, 'pos': 0.174, 'compound': -0.1027}
{'neg': 0.184, 'neu': 0.589, 'pos': 0.228, 'compound': 0.1513}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.3818}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.2263}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.188, 'neu': 0.813, 'pos': 0.0, 'compound': -0.4588}
{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.4019}
{'neg': 0.28, 'neu': 0.72, 'pos': 0.0, 'compound': -0.5423}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.222, 'neu': 0.778, 'pos': 0.0, 'compound': -0.5719}
{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.3182}
{'neg': 0.15, 'neu': 0.85, 'pos': 0.0, 'compound': -0.3182}
{'neg': 0.188, 'neu': 0.598, 'pos': 0.214, 'compound': 0.0772}
{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.4767}
{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.5859}
{'neg': 0.221, 'neu': 0.653, 'pos': 0.126, 'compound': -0.2263}
{'neg': 0.178, 'neu': 0.822, 'pos': 0.0, 'compound': -0.3818}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.1027}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.4215}
{'neg': 0.165, 'neu': 0.625, 'pos': 0.21, 'compound': 0.2023}
{'neg': 0.252, 'neu': 0.504, 'pos': 0.245, 'compound': -0.0258}
{'neg': 0.274, 'neu': 0.566, 'pos': 0.16, 'compound': -0.296}
{'neg': 0.207, 'neu': 0.603, 'pos': 0.19, 'compound': -0.0531}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.144, 'neu': 0.856, 'pos': 0.0, 'compound': -0.1326}
{'neg': 0.326, 'neu': 0.674, 'pos': 0.0, 'compound': -0.5256}
{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.6249}
{'neg': 0.459, 'neu': 0.541, 'pos': 0.0, 'compound': -0.7003}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.3465}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.25, 'neu': 0.603, 'pos': 0.147, 'compound': -0.296}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.079, 'neu': 0.736, 'pos': 0.185, 'compound': 0.4617}
{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.3818}
{'neg': 0.146, 'neu': 0.701, 'pos': 0.153, 'compound': 0.0258}
{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.5574}
{'neg': 0.356, 'neu': 0.4, 'pos': 0.244, 'compound': -0.4767}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.296}
{'neg': 0.175, 'neu': 0.714, 'pos': 0.11, 'compound': -0.25}
{'neg': 0.29, 'neu': 0.71, 'pos': 0.0, 'compound': -0.6486}
{'neg': 0.0, 'neu': 0.562, 'pos': 0.438, 'compound': 0.5994}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.135, 'neu': 0.865, 'pos': 0.0, 'compound': -0.1027}
{'neg': 0.338, 'neu': 0.662, 'pos': 0.0, 'compound': -0.4728}
{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.8625}
{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.34}
{'neg': 0.285, 'neu': 0.715, 'pos': 0.0, 'compound': -0.6114}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.296}
{'neg': 0.466, 'neu': 0.534, 'pos': 0.0, 'compound': -0.7269}
{'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.4404}
{'neg': 0.304, 'neu': 0.696, 'pos': 0.0, 'compound': -0.6557}
{'neg': 0.595, 'neu': 0.405, 'pos': 0.0, 'compound': -0.8834}
{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.5574}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.243, 'neu': 0.757, 'pos': 0.0, 'compound': -0.5423}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.2057}
{'neg': 0.248, 'neu': 0.752, 'pos': 0.0, 'compound': -0.5106}
{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.128}
{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.34}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.181, 'neu': 0.622, 'pos': 0.197, 'compound': 0.0772}
{'neg': 0.219, 'neu': 0.674, 'pos': 0.107, 'compound': -0.4588}
{'neg': 0.178, 'neu': 0.46, 'pos': 0.362, 'compound': 0.4939}
{'neg': 0.467, 'neu': 0.533, 'pos': 0.0, 'compound': -0.7845}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.4019}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.21, 'neu': 0.588, 'pos': 0.202, 'compound': -0.0258}
{'neg': 0.275, 'neu': 0.379, 'pos': 0.347, 'compound': -0.0613}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.165, 'neu': 0.696, 'pos': 0.139, 'compound': -0.0772}
{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.5667}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}
{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.5719}
{'neg': 0.343, 'neu': 0.448, 'pos': 0.209, 'compound': -0.5719}
{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}
{'neg': 0.202, 'neu': 0.38, 'pos': 0.418, 'compound': 0.4023}
{'neg': 0.271, 'neu': 0.729, 'pos': 0.0, 'compound': -0.3818}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.265, 'neu': 0.735, 'pos': 0.0, 'compound': -0.5574}
{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.4588}
{'neg': 0.298, 'neu': 0.702, 'pos': 0.0, 'compound': -0.5267}
{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5994}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.255, 'neu': 0.303, 'pos': 0.442, 'compound': 0.6249}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.28, 'neu': 0.559, 'pos': 0.161, 'compound': -0.2263}
{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.296}
{'neg': 0.18, 'neu': 0.703, 'pos': 0.117, 'compound': -0.2023}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.296}
{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}
{'neg': 0.23, 'neu': 0.77, 'pos': 0.0, 'compound': -0.636}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.246, 'neu': 0.615, 'pos': 0.138, 'compound': -0.34}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.122, 'neu': 0.718, 'pos': 0.16, 'compound': 0.1779}
{'neg': 0.348, 'neu': 0.652, 'pos': 0.0, 'compound': -0.4939}
{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}
{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.6597}
{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.34}
{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.1027}
{'neg': 0.506, 'neu': 0.494, 'pos': 0.0, 'compound': -0.6249}
{'neg': 0.107, 'neu': 0.602, 'pos': 0.291, 'compound': 0.6114}
{'neg': 0.159, 'neu': 0.397, 'pos': 0.444, 'compound': 0.6486}
{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.6908}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.254, 'neu': 0.746, 'pos': 0.0, 'compound': -0.5267}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.288, 'neu': 0.712, 'pos': 0.0, 'compound': -0.5009}
{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.802}
{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.0772}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.34}
{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.1027}
{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.4019}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4019}
{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.2023}
{'neg': 0.367, 'neu': 0.633, 'pos': 0.0, 'compound': -0.4404}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.34}
{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.2263}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.4215}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.402, 'neu': 0.598, 'pos': 0.0, 'compound': -0.6573}
{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.3182}
{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.1027}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.4019}
{'neg': 0.25, 'neu': 0.75, 'pos': 0.0, 'compound': -0.3252}
{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.3818}
{'neg': 0.123, 'neu': 0.718, 'pos': 0.159, 'compound': 0.1779}
{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.4767}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.147, 'neu': 0.853, 'pos': 0.0, 'compound': -0.2263}
{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.5574}
{'neg': 0.153, 'neu': 0.764, 'pos': 0.083, 'compound': -0.2732}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.32, 'neu': 0.68, 'pos': 0.0, 'compound': -0.5106}
{'neg': 0.527, 'neu': 0.473, 'pos': 0.0, 'compound': -0.7713}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.337, 'neu': 0.465, 'pos': 0.198, 'compound': -0.296}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.379, 'neu': 0.621, 'pos': 0.0, 'compound': -0.6705}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.15, 'neu': 0.476, 'pos': 0.374, 'compound': 0.5106}
{'neg': 0.293, 'neu': 0.543, 'pos': 0.163, 'compound': -0.296}
{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.34}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.6124}
{'neg': 0.341, 'neu': 0.659, 'pos': 0.0, 'compound': -0.6908}
{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}
{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.34}
{'neg': 0.205, 'neu': 0.795, 'pos': 0.0, 'compound': -0.3818}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.5994}
{'neg': 0.248, 'neu': 0.51, 'pos': 0.242, 'compound': -0.2732}
{'neg': 0.438, 'neu': 0.562, 'pos': 0.0, 'compound': -0.5994}
{'neg': 0.097, 'neu': 0.903, 'pos': 0.0, 'compound': -0.1027}
{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.128}
{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.4215}
{'neg': 0.379, 'neu': 0.621, 'pos': 0.0, 'compound': -0.7269}
{'neg': 0.276, 'neu': 0.599, 'pos': 0.124, 'compound': -0.5106}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.114, 'neu': 0.761, 'pos': 0.125, 'compound': 0.0516}
{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.2023}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.229, 'neu': 0.625, 'pos': 0.146, 'compound': -0.2937}
{'neg': 0.348, 'neu': 0.539, 'pos': 0.113, 'compound': -0.7003}
{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.3818}
{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.34}
{'neg': 0.0, 'neu': 0.49, 'pos': 0.51, 'compound': 0.8074}
{'neg': 0.212, 'neu': 0.788, 'pos': 0.0, 'compound': -0.5423}
{'neg': 0.36, 'neu': 0.64, 'pos': 0.0, 'compound': -0.5423}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.123, 'neu': 0.877, 'pos': 0.0, 'compound': -0.1027}
{'neg': 0.16, 'neu': 0.694, 'pos': 0.146, 'compound': -0.0516}
